Date of initial application by author,Submitted by,University department,PubMed Central (PMC) ID,PubMed ID,DOI,Affiliated author,Publisher,Journal,ISSN,Type of publication,Article title,Date of publication,Fund that APC is paid from (1),Fund that APC is paid from (2),Fund that APC is paid from (3),Funder of research (1),Funder of research (2),Funder of research (3),Grant ID (1),Grant ID (2),Grant ID (3),Date of APC payment,APC paid (actual currency) including VAT if charged,APC paid (actual currency) excluding VAT,VAT (actual currency),Currency of APC,APC paid (£) including VAT if charged,APC paid (£) excluding VAT,VAT (£),Additional publication costs (£),"Discounts, memberships & pre-payment agreements",Amount of APC charged to COAF grant (include VAT if charged) in £,Amount of APC charged to RCUK OA fund (include VAT if charged) in £,Licence,Correct license applied,Problem-free open access publication,Notes
17/11/2015,Douglas Kell,Faculty of Engineering and Physical Sciences,PMC4642801,,10.1016/j.tips.2015.07.006,Douglas Kell,Elsevier,Trends in Pharmacological Sciences,0165-6147,Journal Article/Review (Hybrid journal),Fitting transporter activities to cellular drug concentrations and fluxes: why the bumblebee can fly,1/11/2015,RCUK,,,BBSRC,BBSRC,BBSRC,BB/M017702/1,BB/K019783/1,BB/J019259/1,5/1/2016," € 3,480.91 ",,,EUR,2451.35,,,,No,,2451.35,CC-BY,Yes,Yes,
30/11/2015,Peter Lee,Faculty of Engineering and Physical Sciences,,,10.1016/j.actamat.2015.11.028,Peter Lee,Elsevier,Acta Materialia,1359-6454,Journal Article/Review (Hybrid journal),Time-resolved synchrotron tomographic quantification of deformation during indentation of an equiaxed semi-solid granular alloy,9/1/2015,RCUK,,,EPSRC,,,EP/I02249X/1,,,5/1/2016," € 3,213.14 ",,,EUR,2262.77,,,,No,,2262.77,CC-BY,Yes,Yes,
21/12/2015,"Preuss, Michael",School of Materials,,,10.1016/j.actamat.2015.12.032,"Preuss, Michael",Elsevier,Acta Materialia,1359-6454,Journal Article/Review (Hybrid journal),A study of deformation twinning in a Titanium alloy by X-ray Diffraction Contrast Tomography,9/1/2016,RCUK,,,EPSRC,,,EP/I005420/1,,,18/01/2016," € 3,213.14 ",,,EUR,2355.16,,,,No,,2355.16,CC-BY,Yes,Yes,
04/01/2016,"Jivkov, Andrey","School of Mechanical, Aerospace and Civil Engineering",,,10.1016/j.carbon.2015.12.100,"Jivkov, Andrey",Elsevier,Carbon,0008-6223,Journal Article/Review (Hybrid journal),Multi-scale modelling of nuclear graphite tensile strength using the Site-Bond lattice model,02/01/2016,RCUK,,,EPSRC,,,EP/J019763/1,,,01/02/2016," € 3,748.67 ",,,EUR,2747.69,,,,No,,2747.69,CC-BY,Yes,Yes,
18/11/2015,"Jivkov, Andrey",Faculty of Engineering and Physical Sciences,,,10.1016/j.compositesb.2015.11.007,"Jivkov, Andrey",Elsevier,Composites Part B: Engineering,1359-8368,Journal Article/Review (Hybrid journal),Micromechanical modelling of deformation and fracture of hydrating cement paste using X-ray computed tomography characterisation,17/11/2015,RCUK,,,EPSRC,,,,,,01/12/2015," € 2,677.62 ",,,EUR,1918.62,,,,No,,1918.62,CC-BY,Yes,Yes,
07/01/2016,"Young, Robert",School of Materials,,,10.1016/j.compscitech.2015.12.005,"Young, Robert",Elsevier,Composites Science and Technology,0266-3538,Journal Article/Review (Hybrid journal),Effect of the orientation of graphene-based nanoplatelets upon the Young's modulus of nanocomposites,15/12/2015,RCUK,,,EPSC,,,EP/I023879/1,,,18/01/2016," € 3,534.46 ",,,EUR,2590.68,,,,No,,2590.68,CC-BY,Yes,Yes,
17/11/2015,"Hashimoto, Teruo",Faculty of Engineering and Physical Sciences,,,10.1016/j.corsci.2015.11.013,"Hashimoto, Teruo",Elsevier,Corrosion Science,0010-938X,Journal Article/Review (Hybrid journal),Investigation of Dealloying of S phase (Al2CuMg) in AA2024- T3 Aluminium Alloy by High Resolution 2D and 3D Electron Imaging,01/12/2016,RCUK,,,EPSRC,,,,,,15/12/2015," € 2,677.62 ",,,EUR,1918.62,,,,No,,1918.62,CC-BY,Yes,Yes,
16/12/2015,"Dryfe, Robert",School of Chemistry,,,10.1016/j.electacta.2015.12.108,"Dryfe, Robert",Elsevier,Electrochimica Acta,0013-4686,Journal Article/Review (Hybrid journal),Redox and Ligand Exchange during the Reaction of Tetrachloroaurate with Hexacyanoferrate(II) at a Liquid-Liquid Interface: Voltammetry and X-ray Absorption Fine-Structure Studies,17/12/2015,RCUK,,,EPSRC,,,EP/H047786/1,,,10/02/2016," € 3,052.49 ",,,EUR,2237.4,,,,No,,2237.4,CC-BY,Yes,Yes,
15/01/2016,"Gilmour, James",Faculty of Engineering and Physical Sciences,,,10.1016/j.gca.2015.12.028,"Gilmour, James",Elsevier,Geochimica et Cosmochimica Acta G C A,0016-7037,Journal Article/Review (Hybrid journal),"Xenon and iodine reveal multiple distinct exotic xenon components in Efremovka ""nanodiamonds""",31/12/2015,RCUK,,,STFC,,,ST/M001253/1,,,16/02/2016," € 3,213.14 ",,,EUR,2355.16,,,,No,,2355.16,CC-BY,Yes,Yes,
25/11/2015,"Jivkov, Andrey",Faculty of Engineering and Physical Sciences,,,10.1016/j.ijsolstr.2015.11.018,"Jivkov, Andrey",Elsevier,International Journal of Solids and Structures,0020-7683,Journal Article/Review (Hybrid journal),Computational technology for analysis of 3D meso-structure effects on damage and failure of concrete,26/11/2015,RCUK,,,EPSRC,,,,,,05/01/2016," € 3,534.46 ",,,EUR,2489.06,,,,Yes,,2489.06,CC-BY,Yes,Yes,
